user_name,status,datetime
Joni Ernst,"As Iowa’s small businesses work to reopen, they shouldn’t be burdened by unnecessary red tape.
 
I joined a letter to @stevenmnuchin1 &amp; @SBAJovita asking them to ease paperwork requirements for #smallbiz seeking #PPP loan forgiveness. https://t.co/l5CnbbSFcI",2020-06-14 12:18:20.848681
Steve Daines,Happy Flag Day! We must not allow the destruction of America's symbol of freedom. 🇺🇸 https://t.co/ko5sjx2FBH,2020-06-14 12:25:01.329534
Thom Tillis,"Today, on Flag Day, we celebrate the adoption of our beautiful Stars and Stripes, which are a symbol of our freedoms, of the Great American Experiment, and of the American Dream. God bless our flag and our great nation. https://t.co/mazZZa4MzJ",2020-06-14 12:49:09.461838
Sen. Marsha Blackburn,"Today, @USArmy celebrates 245 years of courage and dedication to this nation. Thank you to all the men and women of @USArmy for your service! 🇺🇸🇺🇸 https://t.co/ngxAXYMSld",2020-06-14 13:26:45.118361
Rob Portman,"In the coming days, the U.S. Senate will vote on historic legislation to preserve and protect our national parks and other public lands for generations to come. https://t.co/tCK6ifBaSz",2020-06-14 13:41:07.168561
Sen. Lisa Murkowski,"In honor of the @USArmy’s 245th birthday, I want to thank all of our soldiers, Army civilians, and their families for their unwavering commitment, service, and sacrifice to this great nation. https://t.co/mkHEeH0YkC",2020-06-14 13:43:13.547689
Martha McSally,It’s time to bring home our manufacturing. I’m working on legislation to provide tax credits to companies who manufacture right here in the United States. https://t.co/4KFSSoJcJR,2020-06-14 14:10:20.555855
Senator Mike Crapo,Happy Flag Day. May it be a beacon of hope around the world and in our nation. https://t.co/jNRXfImdi6,2020-06-14 14:10:49.266431
Sen. Lamar Alexander,"READ my column in @GreeneSun about the #GreatOurdoors Act, which will cut in half our parks’ $12 billion deferred maintenance backlog and fully funds the #LWCF. 

It’s time for Congress to #RestoreOurParks. 

https://t.co/gjeVwrIO4k https://t.co/GJq5qEnOCq",2020-06-14 14:20:06.645871
Senator Pat Roberts,"Today we celebrate #FlagDay and honor Old Glory, our nation's symbol of freedom, liberty and unity. We remember the history and the sacrifice of the brave men and women who steadfastly defend those values. https://t.co/eIAJVvKCc0",2020-06-14 14:20:08.889378
Senator Roger Wicker,"O say does that star-spangled banner yet wave, O’er the land of the free and the home of the brave? #FlagDay https://t.co/VIVtU3vHlf",2020-06-14 14:23:45.110149
Rob Portman,"Our National Parks support 340K+ jobs &amp; generate $41B in economic growth for surrounding communities. 

My bipartisan Restore Our Parks Act, currently being considered on the Senate floor, will safeguard our parks so folks can continue to safely visit for years to come. https://t.co/9Mx0RNNJOB",2020-06-14 14:27:55.735437
Cindy Hyde-Smith,Today we celebrate the adoption of the Stars and Stripes as the official flag of the United States. Fly it respectfully and proudly! #FlagDay https://t.co/SN9myW8t5U,2020-06-14 14:30:05.479607
Cindy Hyde-Smith,"""I'm mighty proud of that ragged old flag."" #FlagDay #JohnnyCash 
https://t.co/weqA1ApKPK",2020-06-14 15:00:16.104348
Rob Portman,"The Census is used to determine the amount of federal resources your community receives for roads, transportation systems, schools, and first responders. So I encourage you to stand up and be counted in this year's #census. https://t.co/JyFnNf8TOg",2020-06-14 15:01:39.073915
Martha McSally,"Keep it up, Rylee! This Sandra Day O'Connor High School junior was named Gatorade’s Arizona Softball Player of the Year.
https://t.co/wD1sbcRFhs",2020-06-14 15:23:05.431441
Senator Mike Rounds,Happy Flag Day! https://t.co/HMJO3iyI5F,2020-06-14 15:42:09.275489
Sen. John Barrasso,"This weekend, the Hulett community hosted the 73rd annual Hulett rodeo. A big thank you to all the organizers and volunteers for hosting this great cowboy tradition. https://t.co/HxHhCUYT6W",2020-06-14 16:02:05.640667
Senator Kelly Loeffler,"Today we celebrate the greatest symbol of freedom, liberty and unity. We will never forget the brave men and women who died defending it. #FlagDay https://t.co/ZyKV56BGrF",2020-06-14 16:09:53.787703
